Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
239,6,2014-08-02,5203,463,1,0,0,0,d,c,610.0,,,0,,,
67,4,2013-05-16,8590,867,1,1,0,0,a,c,410.0,2.0,2006.0,0,,,
626,1,2015-04-20,6465,621,1,0,0,0,c,c,10740.0,11.0,2013.0,0,,,
618,4,2015-07-23,7250,568,1,0,0,0,d,c,9910.0,,,0,,,
185,1,2014-02-24,4339,399,1,0,0,0,d,c,1860.0,5.0,2015.0,0,,,
186,3,2013-12-04,4221,398,1,1,0,0,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
566,3,2013-11-20,5258,581,1,1,0,0,a,a,3620.0,,,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
405,2,2014-04-15,6882,649,1,1,0,1,a,a,1080.0,4.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
374,1,2015-03-30,10413,1027,1,1,0,1,a,a,1150.0,9.0,2007.0,0,,,
758,1,2013-03-04,7090,915,1,1,0,0,a,c,19780.0,6.0,2008.0,0,,,
502,6,2014-04-19,11747,1772,1,0,0,1,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
247,1,2013-05-13,11660,844,1,1,0,0,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
446,4,2014-04-24,3765,531,1,0,0,1,a,a,340.0,10.0,2000.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
666,1,2014-03-31,9905,811,1,1,0,0,c,c,2700.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
1047,1,2014-02-10,4144,487,1,0,0,0,a,a,3750.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
166,2,2013-07-23,3858,576,1,0,0,1,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
